request_id,department,request_type,created_date,status,closed_date,days_open,council_district,priority
SR-101755,Public Works,Street Light Outage,2025-05-25,Open,,473,5,Medium
SR-100117,Code Enforcement,Overgrown Lot,2025-05-25,Resolved,2025-06-21,27,5,High
SR-101873,Public Works,Storm Drain Blocked,2025-05-25,Resolved,2025-05-27,2,5,High
SR-100175,Water Utilities,Low Water Pressure,2025-05-25,Closed,2025-05-27,2,5,Low
SR-101620,Code Enforcement,Noise Complaint,2025-05-26,Resolved,2025-05-26,0,2,High
SR-101642,Planning,Sign Violation,2025-05-26,Resolved,2025-06-09,14,2,Low
SR-101249,Animal Control,Animal Bite Report,2025-05-26,In Progress,,472,2,Medium
SR-101978,Water Utilities,Water Main Break,2025-05-27,Resolved,2025-06-05,9,3,Low
SR-100398,Parks & Recreation,Playground Equipment Damage,2025-05-27,In Progress,,471,5,Medium
SR-100142,Public Works,Road Debris,2025-05-27,Closed,2025-05-28,1,5,Low
SR-100380,Water Utilities,Billing Inquiry,2025-05-28,Resolved,2025-06-01,4,2,Medium
SR-101567,Water Utilities,Low Water Pressure,2025-05-29,Resolved,2025-05-29,0,5,Low
SR-101887,Code Enforcement,Overgrown Lot,2025-05-29,Open,,469,4,Medium
SR-100423,Planning,Sign Violation,2025-05-29,Resolved,2025-06-11,13,1,High
SR-100075,Animal Control,Stray Animal,2025-05-29,Closed,2025-05-29,0,4,Low
SR-101041,Public Works,Pothole Repair,2025-05-29,Closed,2025-07-12,44,4,Low
SR-100291,Code Enforcement,Illegal Dumping,2025-05-29,Resolved,2025-05-30,1,2,Medium
SR-100045,Code Enforcement,Noise Complaint,2025-05-30,Open,,468,4,Low
SR-102354,Public Works,Street Light Outage,2025-05-30,Closed,2025-06-10,11,1,Low
SR-101824,Water Utilities,Water Main Break,2025-05-31,Closed,2025-07-11,41,3,Medium
SR-100724,Animal Control,Barking Complaint,2025-05-31,Resolved,2025-06-05,5,5,Medium
SR-101768,Animal Control,Animal Bite Report,2025-05-31,In Progress,,467,5,Medium
SR-100494,Parks & Recreation,Playground Equipment Damage,2025-05-31,Closed,2025-05-31,0,1,Low
SR-101558,Water Utilities,Low Water Pressure,2025-06-01,Closed,2025-06-02,1,4,Low
SR-102084,Public Works,Street Light Outage,2025-06-01,In Progress,,466,2,Medium
SR-102312,Code Enforcement,Overgrown Lot,2025-06-01,Open,,466,2,Medium
SR-101039,Code Enforcement,Noise Complaint,2025-06-02,Closed,2025-06-08,6,4,Low
SR-101036,Code Enforcement,Overgrown Lot,2025-06-02,Closed,2025-06-16,14,2,Medium
SR-102492,Planning,Land Use Complaint,2025-06-02,Closed,2025-06-05,3,3,Medium
SR-100793,Public Works,Pothole Repair,2025-06-03,Resolved,2025-06-03,0,3,Medium
SR-100305,Water Utilities,Billing Inquiry,2025-06-03,Resolved,2025-06-08,5,5,Low
SR-101453,Code Enforcement,Abandoned Vehicle,2025-06-03,Closed,2025-06-10,7,3,Medium
SR-100719,Parks & Recreation,Playground Equipment Damage,2025-06-03,Open,,464,3,Medium
SR-101502,Parks & Recreation,Trail Erosion,2025-06-03,In Progress,,464,1,Low
SR-100413,Public Works,Street Light Outage,2025-06-03,Resolved,2025-06-18,15,1,Low
SR-101401,Parks & Recreation,Tree Trimming Request,2025-06-04,Resolved,2025-06-04,0,1,Medium
SR-101994,Public Works,Sidewalk Damage,2025-06-04,Open,,463,3,Medium
SR-100554,Water Utilities,Billing Inquiry,2025-06-04,In Progress,,463,1,High
SR-101799,Public Works,Sidewalk Damage,2025-06-04,Closed,2025-07-03,29,4,Low
SR-101139,Public Works,Street Light Outage,2025-06-05,Resolved,2025-06-17,12,4,Medium
SR-102154,Public Works,Road Debris,2025-06-05,Open,,462,5,Medium
SR-101469,Public Works,Storm Drain Blocked,2025-06-05,Open,,462,3,Low
SR-101924,Planning,Permit Question,2025-06-05,Open,,462,3,Low
SR-102140,Public Works,Pothole Repair,2025-06-05,Resolved,2025-06-18,13,3,Medium
SR-102099,Water Utilities,Water Main Break,2025-06-05,Open,,462,2,High
SR-101091,Public Works,Street Light Outage,2025-06-05,Open,,462,2,Low
SR-100534,Parks & Recreation,Playground Equipment Damage,2025-06-05,In Progress,,462,3,Medium
SR-101712,Water Utilities,Low Water Pressure,2025-06-06,Resolved,2025-06-24,18,5,Medium
SR-100122,Parks & Recreation,Tree Trimming Request,2025-06-06,Resolved,2025-06-15,9,4,Medium
SR-100010,Code Enforcement,Overgrown Lot,2025-06-06,Open,,461,1,Medium
SR-101649,Parks & Recreation,Park Maintenance,2025-06-06,Closed,2025-06-09,3,2,Medium
SR-102178,Public Works,Pothole Repair,2025-06-07,In Progress,,460,4,Low
SR-101023,Public Works,Storm Drain Blocked,2025-06-07,In Progress,,460,4,Medium
SR-100145,Public Works,Street Light Outage,2025-06-07,Closed,2025-06-15,8,1,Low
SR-101728,Public Works,Road Debris,2025-06-07,Closed,2025-06-21,14,4,Low
SR-101908,Code Enforcement,Abandoned Vehicle,2025-06-08,Open,,459,4,Medium
SR-101591,Water Utilities,Billing Inquiry,2025-06-08,Closed,2025-06-12,4,3,Medium
SR-102038,Public Works,Pothole Repair,2025-06-08,Resolved,2025-06-09,1,1,Medium
SR-100614,Public Works,Sidewalk Damage,2025-06-08,In Progress,,459,4,High
SR-102393,Public Works,Street Light Outage,2025-06-09,Resolved,2025-06-09,0,1,Low
SR-101340,Parks & Recreation,Playground Equipment Damage,2025-06-09,Open,,458,3,Low
SR-102006,Parks & Recreation,Trail Erosion,2025-06-09,Open,,458,5,Low
SR-101714,Planning,Permit Question,2025-06-09,Closed,2025-06-09,0,2,Low
SR-100410,Parks & Recreation,Trail Erosion,2025-06-09,Resolved,2025-06-17,8,4,Low
SR-100040,Public Works,Road Debris,2025-06-10,In Progress,,457,1,Low
SR-101882,Public Works,Road Debris,2025-06-10,Open,,457,4,Medium
SR-100034,Code Enforcement,Noise Complaint,2025-06-10,Resolved,2025-06-10,0,4,Low
SR-100684,Public Works,Road Debris,2025-06-10,Resolved,2025-06-20,10,2,Medium
SR-100165,Parks & Recreation,Playground Equipment Damage,2025-06-10,Resolved,2025-07-06,26,2,Low
SR-101579,Planning,Zoning Inquiry,2025-06-10,Closed,2025-07-27,47,4,Low
SR-102427,Animal Control,Animal Bite Report,2025-06-11,Closed,2025-07-03,22,3,Medium
SR-100422,Water Utilities,Water Main Break,2025-06-11,Closed,2025-06-17,6,4,Medium
SR-101457,Planning,Sign Violation,2025-06-11,Resolved,2025-07-09,28,3,Low
SR-100638,Water Utilities,Meter Reading Issue,2025-06-12,Closed,2025-06-22,10,3,High
SR-100067,Code Enforcement,Noise Complaint,2025-06-12,Resolved,2025-07-08,26,2,High
SR-101253,Code Enforcement,Overgrown Lot,2025-06-12,Resolved,2025-06-18,6,4,High
SR-102321,Water Utilities,Low Water Pressure,2025-06-12,Resolved,2025-06-17,5,4,Low
SR-101220,Animal Control,Barking Complaint,2025-06-12,Closed,2025-06-21,9,2,Medium
SR-102279,Code Enforcement,Illegal Dumping,2025-06-13,Resolved,2025-06-15,2,2,Low
SR-102410,Planning,Land Use Complaint,2025-06-13,Closed,2025-06-20,7,2,Medium
SR-102275,Planning,Sign Violation,2025-06-13,Closed,2025-07-05,22,1,Low
SR-100268,Public Works,Pothole Repair,2025-06-13,Open,,454,5,Low
SR-101231,Public Works,Storm Drain Blocked,2025-06-13,Resolved,2025-06-14,1,1,Medium
SR-101644,Public Works,Street Light Outage,2025-06-13,Resolved,2025-07-11,28,2,Low
SR-100490,Animal Control,Stray Animal,2025-06-13,In Progress,,454,1,Medium
SR-100633,Code Enforcement,Overgrown Lot,2025-06-13,Open,,454,2,Low
SR-101601,Water Utilities,Water Main Break,2025-06-14,Open,,453,4,High
SR-101934,Animal Control,Wildlife Concern,2025-06-14,In Progress,,453,2,High
SR-102024,Planning,Zoning Inquiry,2025-06-14,Resolved,2025-06-20,6,4,Low
SR-100746,Animal Control,Wildlife Concern,2025-06-14,Resolved,2025-06-16,2,1,Low
SR-101169,Planning,Permit Question,2025-06-15,Closed,2025-06-17,2,3,Low
SR-102096,Code Enforcement,Unsafe Structure,2025-06-15,Resolved,2025-06-19,4,3,Medium
SR-102352,Public Works,Road Debris,2025-06-16,In Progress,,451,2,Low
SR-101150,Public Works,Sidewalk Damage,2025-06-16,In Progress,,451,4,High
SR-102008,Planning,Land Use Complaint,2025-06-16,Closed,2025-06-29,13,5,High
SR-101670,Planning,Zoning Inquiry,2025-06-16,Resolved,2025-06-20,4,1,Medium
SR-101691,Public Works,Pothole Repair,2025-06-16,Closed,2025-07-07,21,4,Low
SR-100252,Code Enforcement,Noise Complaint,2025-06-16,Open,,451,4,Medium
SR-101447,Code Enforcement,Abandoned Vehicle,2025-06-16,Open,,451,2,High
SR-100826,Public Works,Pothole Repair,2025-06-16,Open,,451,3,Low
SR-100864,Code Enforcement,Noise Complaint,2025-06-17,Resolved,2025-07-02,15,4,Low
SR-100473,Code Enforcement,Noise Complaint,2025-06-17,Resolved,2025-06-17,0,3,Low
SR-102079,Animal Control,Stray Animal,2025-06-17,Open,,450,5,Low
SR-100057,Planning,Zoning Inquiry,2025-06-17,In Progress,,450,5,Low
SR-100674,Parks & Recreation,Park Maintenance,2025-06-18,In Progress,,449,5,Low
SR-101072,Public Works,Street Light Outage,2025-06-18,Resolved,2025-06-27,9,4,Low
SR-100462,Public Works,Storm Drain Blocked,2025-06-18,Resolved,2025-07-10,22,2,High
SR-101652,Public Works,Street Light Outage,2025-06-18,Resolved,2025-06-24,6,1,High
SR-101246,Public Works,Road Debris,2025-06-18,Closed,2025-06-22,4,4,Low
SR-101144,Public Works,Pothole Repair,2025-06-18,Resolved,2025-06-22,4,3,Low
SR-100795,Code Enforcement,Illegal Dumping,2025-06-18,Open,,449,3,Low
SR-100546,Code Enforcement,Overgrown Lot,2025-06-19,Resolved,2025-07-04,15,3,High
SR-102229,Code Enforcement,Noise Complaint,2025-06-19,Resolved,2025-06-21,2,1,Medium
SR-102182,Public Works,Pothole Repair,2025-06-19,Closed,2025-06-21,2,2,Medium
SR-101353,Parks & Recreation,Trail Erosion,2025-06-19,Open,,448,5,High
SR-100643,Public Works,Street Light Outage,2025-06-20,Open,,447,3,Medium
SR-100838,Planning,Sign Violation,2025-06-20,Closed,2025-06-20,0,1,Low
SR-100662,Animal Control,Barking Complaint,2025-06-20,Open,,447,4,Low
SR-101867,Public Works,Sidewalk Damage,2025-06-20,Resolved,2025-06-23,3,3,Low
SR-100687,Code Enforcement,Illegal Dumping,2025-06-21,Resolved,2025-07-23,32,1,Low
SR-101769,Public Works,Pothole Repair,2025-06-21,Closed,2025-06-21,0,1,Low
SR-101727,Public Works,Sidewalk Damage,2025-06-21,Resolved,2025-07-07,16,1,Medium
SR-100955,Animal Control,Wildlife Concern,2025-06-21,Closed,2025-06-22,1,2,Medium
SR-100270,Public Works,Storm Drain Blocked,2025-06-22,Closed,2025-07-01,9,4,Low
SR-100449,Planning,Sign Violation,2025-06-22,In Progress,,445,3,High
SR-100072,Public Works,Sidewalk Damage,2025-06-22,Resolved,2025-06-22,0,2,Medium
SR-100990,Planning,Zoning Inquiry,2025-06-22,Closed,2025-07-11,19,4,Medium
SR-100941,Animal Control,Animal Bite Report,2025-06-23,Resolved,2025-07-15,22,4,Low
SR-101654,Parks & Recreation,Tree Trimming Request,2025-06-24,Closed,2025-07-03,9,1,Low
SR-101239,Public Works,Pothole Repair,2025-06-24,Open,,443,4,Low
SR-100229,Water Utilities,Low Water Pressure,2025-06-24,Closed,2025-07-08,14,2,Low
SR-100417,Parks & Recreation,Park Maintenance,2025-06-24,Closed,2025-06-26,2,5,Low
SR-101281,Public Works,Storm Drain Blocked,2025-06-24,Closed,2025-06-26,2,1,Low
SR-100514,Code Enforcement,Illegal Dumping,2025-06-24,In Progress,,443,2,Low
SR-101346,Public Works,Sidewalk Damage,2025-06-24,Open,,443,1,Low
SR-100904,Water Utilities,Water Main Break,2025-06-25,Closed,2025-07-07,12,4,Medium
SR-101182,Water Utilities,Water Main Break,2025-06-25,Resolved,2025-07-09,14,4,Medium
SR-101871,Water Utilities,Meter Reading Issue,2025-06-25,Resolved,2025-07-01,6,5,Medium
SR-102169,Water Utilities,Water Main Break,2025-06-25,Closed,2025-07-05,10,5,Medium
SR-101313,Public Works,Street Light Outage,2025-06-25,Resolved,2025-06-25,0,2,Medium
SR-101771,Public Works,Road Debris,2025-06-25,Closed,2025-07-05,10,3,Medium
SR-100416,Animal Control,Barking Complaint,2025-06-26,Closed,2025-07-01,5,3,Low
SR-101616,Code Enforcement,Abandoned Vehicle,2025-06-26,Resolved,2025-07-02,6,1,Medium
SR-102340,Water Utilities,Low Water Pressure,2025-06-26,Closed,2025-06-30,4,2,Low
SR-101045,Animal Control,Stray Animal,2025-06-26,Closed,2025-07-05,9,3,Medium
SR-100808,Public Works,Storm Drain Blocked,2025-06-26,Closed,2025-08-05,40,4,Medium
SR-100227,Code Enforcement,Abandoned Vehicle,2025-06-27,Resolved,2025-07-02,5,5,Low
SR-101700,Public Works,Street Light Outage,2025-06-27,In Progress,,440,1,Low
SR-102052,Water Utilities,Meter Reading Issue,2025-06-27,In Progress,,440,3,Medium
SR-101085,Animal Control,Stray Animal,2025-06-27,Open,,440,1,Low
SR-100903,Public Works,Pothole Repair,2025-06-27,In Progress,,440,3,Low
SR-101544,Public Works,Pothole Repair,2025-06-27,In Progress,,440,4,Low
SR-101160,Code Enforcement,Overgrown Lot,2025-06-27,Resolved,2025-06-28,1,1,Low
SR-101436,Public Works,Road Debris,2025-06-27,In Progress,,440,3,Medium
SR-100359,Code Enforcement,Noise Complaint,2025-06-28,Resolved,2025-07-01,3,4,Low
SR-101682,Public Works,Storm Drain Blocked,2025-06-28,Resolved,2025-07-08,10,1,High
SR-101900,Water Utilities,Water Main Break,2025-06-28,Closed,2025-06-30,2,1,High
SR-100131,Public Works,Storm Drain Blocked,2025-06-28,Resolved,2025-07-01,3,4,Low
SR-100860,Code Enforcement,Illegal Dumping,2025-06-28,Closed,2025-06-30,2,2,Low
SR-101995,Animal Control,Wildlife Concern,2025-06-29,Open,,438,5,Low
SR-101004,Code Enforcement,Unsafe Structure,2025-06-29,Closed,2025-07-11,12,4,Medium
SR-101292,Animal Control,Stray Animal,2025-06-29,Open,,438,4,Medium
SR-100866,Animal Control,Stray Animal,2025-06-29,In Progress,,438,3,Medium
SR-102235,Public Works,Pothole Repair,2025-06-30,Resolved,2025-07-02,2,5,Low
SR-102065,Water Utilities,Meter Reading Issue,2025-06-30,Resolved,2025-07-22,22,4,High
SR-101621,Public Works,Sidewalk Damage,2025-06-30,Closed,2025-08-20,51,3,Medium
SR-101026,Code Enforcement,Illegal Dumping,2025-06-30,Open,,437,2,Low
SR-100642,Public Works,Storm Drain Blocked,2025-06-30,In Progress,,437,4,Low
SR-100673,Planning,Land Use Complaint,2025-06-30,Resolved,2025-07-07,7,1,High
SR-100880,Code Enforcement,Noise Complaint,2025-07-01,Resolved,2025-07-13,12,4,Low
SR-100811,Parks & Recreation,Park Maintenance,2025-07-01,Resolved,2025-07-04,3,2,Medium
SR-102261,Code Enforcement,Noise Complaint,2025-07-01,Closed,2025-08-01,31,4,Low
SR-102472,Code Enforcement,Overgrown Lot,2025-07-02,In Progress,,435,4,Low
SR-101227,Public Works,Sidewalk Damage,2025-07-02,Closed,2025-07-09,7,4,High
SR-100164,Water Utilities,Billing Inquiry,2025-07-02,Resolved,2025-07-08,6,1,Medium
SR-100310,Public Works,Pothole Repair,2025-07-02,Resolved,2025-07-05,3,1,Medium
SR-100994,Water Utilities,Meter Reading Issue,2025-07-02,Resolved,2025-07-19,17,1,Medium
SR-100725,Parks & Recreation,Park Maintenance,2025-07-02,Closed,2025-07-03,1,5,Low
SR-102249,Water Utilities,Meter Reading Issue,2025-07-03,Closed,2025-07-08,5,2,Low
SR-100394,Code Enforcement,Noise Complaint,2025-07-03,Closed,2025-07-06,3,4,High
SR-101202,Planning,Sign Violation,2025-07-03,Closed,2025-07-04,1,4,Medium
SR-102200,Code Enforcement,Abandoned Vehicle,2025-07-04,Closed,2025-08-03,30,3,High
SR-101948,Water Utilities,Low Water Pressure,2025-07-04,Resolved,2025-07-08,4,1,Low
SR-100522,Water Utilities,Meter Reading Issue,2025-07-04,Closed,2025-07-20,16,4,Medium
SR-100765,Public Works,Sidewalk Damage,2025-07-04,Resolved,2025-07-18,14,2,Low
SR-102031,Code Enforcement,Overgrown Lot,2025-07-05,Closed,2025-07-25,20,5,Low
SR-102173,Parks & Recreation,Park Maintenance,2025-07-05,Open,,432,3,Low
SR-101094,Public Works,Street Light Outage,2025-07-05,Resolved,2025-07-09,4,5,Low
SR-102171,Public Works,Street Light Outage,2025-07-06,In Progress,,431,1,High
SR-100627,Public Works,Sidewalk Damage,2025-07-06,Open,,431,4,Low
SR-100570,Animal Control,Stray Animal,2025-07-06,Resolved,2025-07-07,1,4,Low
SR-101388,Public Works,Street Light Outage,2025-07-07,In Progress,,430,2,Low
SR-102242,Water Utilities,Low Water Pressure,2025-07-08,In Progress,,429,1,Medium
SR-101142,Water Utilities,Water Main Break,2025-07-08,Closed,2025-07-27,19,4,Low
SR-101264,Animal Control,Barking Complaint,2025-07-09,Resolved,2025-08-03,25,4,High
SR-102322,Planning,Sign Violation,2025-07-09,Open,,428,5,Low
SR-100342,Public Works,Street Light Outage,2025-07-09,Resolved,2025-07-24,15,2,Low
SR-100364,Water Utilities,Water Main Break,2025-07-09,Closed,2025-07-30,21,1,Low
SR-102073,Planning,Permit Question,2025-07-10,Closed,2025-07-12,2,1,Low
SR-100467,Code Enforcement,Overgrown Lot,2025-07-10,Resolved,2025-07-18,8,1,Low
SR-101113,Water Utilities,Low Water Pressure,2025-07-10,Closed,2025-08-02,23,5,Low
SR-101767,Parks & Recreation,Park Maintenance,2025-07-10,Resolved,2025-07-12,2,2,Medium
SR-101071,Public Works,Street Light Outage,2025-07-10,Open,,427,1,Low
SR-101818,Animal Control,Wildlife Concern,2025-07-11,Resolved,2025-07-17,6,2,Medium
SR-100942,Animal Control,Wildlife Concern,2025-07-11,In Progress,,426,2,Medium
SR-101123,Water Utilities,Billing Inquiry,2025-07-11,Resolved,2025-07-28,17,4,Low
SR-102142,Public Works,Sidewalk Damage,2025-07-11,Closed,2025-07-17,6,5,Medium
SR-100282,Water Utilities,Water Main Break,2025-07-11,Resolved,2025-07-29,18,1,Medium
SR-101965,Water Utilities,Water Main Break,2025-07-11,Resolved,2025-07-16,5,1,Low
SR-100598,Public Works,Sidewalk Damage,2025-07-11,Resolved,2025-08-07,27,1,High
SR-102457,Water Utilities,Low Water Pressure,2025-07-12,Closed,2025-07-28,16,4,Medium
SR-100659,Water Utilities,Billing Inquiry,2025-07-12,Resolved,2025-07-16,4,1,Low
SR-101645,Code Enforcement,Unsafe Structure,2025-07-12,Open,,425,1,Low
SR-101701,Public Works,Street Light Outage,2025-07-12,Closed,2025-07-13,1,2,Medium
SR-102454,Planning,Permit Question,2025-07-13,Closed,2025-07-15,2,1,Medium
SR-100136,Water Utilities,Billing Inquiry,2025-07-13,Resolved,2025-07-22,9,3,Low
SR-101610,Water Utilities,Meter Reading Issue,2025-07-13,Resolved,2025-08-04,22,4,Low
SR-102144,Animal Control,Barking Complaint,2025-07-13,Resolved,2025-07-16,3,3,Low
SR-101739,Code Enforcement,Unsafe Structure,2025-07-13,Resolved,2025-07-17,4,4,High
SR-100069,Planning,Land Use Complaint,2025-07-13,Open,,424,3,Medium
SR-101715,Public Works,Sidewalk Damage,2025-07-13,Resolved,2025-07-30,17,1,Low
SR-100432,Public Works,Sidewalk Damage,2025-07-14,Closed,2025-07-28,14,2,Low
SR-100177,Public Works,Road Debris,2025-07-14,Closed,2025-08-20,37,1,Low
SR-101687,Animal Control,Barking Complaint,2025-07-15,Open,,422,4,High
SR-101337,Planning,Zoning Inquiry,2025-07-15,Resolved,2025-08-31,47,3,Low
SR-101865,Water Utilities,Water Main Break,2025-07-15,Resolved,2025-07-15,0,5,Low
SR-100848,Water Utilities,Meter Reading Issue,2025-07-15,In Progress,,422,3,Low
SR-100689,Water Utilities,Water Main Break,2025-07-16,Resolved,2025-08-02,17,2,Medium
SR-100600,Public Works,Road Debris,2025-07-16,Resolved,2025-07-16,0,1,Medium
SR-100844,Animal Control,Barking Complaint,2025-07-17,Resolved,2025-07-21,4,1,Low
SR-102426,Animal Control,Animal Bite Report,2025-07-17,In Progress,,420,4,Low
SR-100925,Code Enforcement,Noise Complaint,2025-07-17,Resolved,2025-08-05,19,2,Medium
SR-100468,Public Works,Sidewalk Damage,2025-07-17,Closed,2025-08-16,30,5,High
SR-100754,Planning,Land Use Complaint,2025-07-17,Closed,2025-07-21,4,1,High
SR-100118,Parks & Recreation,Tree Trimming Request,2025-07-17,Resolved,2025-08-19,33,2,Low
SR-102081,Public Works,Sidewalk Damage,2025-07-18,Open,,419,5,Low
SR-102172,Water Utilities,Low Water Pressure,2025-07-18,Open,,419,1,Medium
SR-101732,Code Enforcement,Illegal Dumping,2025-07-18,Resolved,2025-07-19,1,2,Medium
SR-100890,Public Works,Road Debris,2025-07-18,Open,,419,3,Medium
SR-100520,Public Works,Storm Drain Blocked,2025-07-18,In Progress,,419,2,Low
SR-100821,Public Works,Pothole Repair,2025-07-19,Closed,2025-08-18,30,3,Medium
SR-101273,Parks & Recreation,Tree Trimming Request,2025-07-19,Resolved,2025-07-26,7,2,Medium
SR-100284,Code Enforcement,Abandoned Vehicle,2025-07-19,Closed,2025-07-22,3,5,Low
SR-100386,Code Enforcement,Illegal Dumping,2025-07-20,In Progress,,417,4,Low
SR-100356,Public Works,Storm Drain Blocked,2025-07-20,Closed,2025-08-17,28,1,Low
SR-100372,Parks & Recreation,Playground Equipment Damage,2025-07-21,Resolved,2025-07-26,5,2,Medium
SR-102429,Planning,Zoning Inquiry,2025-07-21,Closed,2025-07-25,4,5,Low
SR-100465,Planning,Permit Question,2025-07-21,In Progress,,416,1,Low
SR-102047,Water Utilities,Billing Inquiry,2025-07-21,Closed,2025-08-12,22,5,High
SR-101907,Water Utilities,Meter Reading Issue,2025-07-22,Closed,2025-07-30,8,2,Medium
SR-102094,Animal Control,Animal Bite Report,2025-07-22,Open,,415,4,Medium
SR-101172,Code Enforcement,Illegal Dumping,2025-07-22,Closed,2025-07-25,3,3,Low
SR-101777,Public Works,Storm Drain Blocked,2025-07-22,Resolved,2025-08-09,18,2,Low
SR-101515,Planning,Zoning Inquiry,2025-07-23,In Progress,,414,1,High
SR-100856,Planning,Sign Violation,2025-07-23,In Progress,,414,4,Low
SR-101666,Water Utilities,Low Water Pressure,2025-07-23,Resolved,2025-08-03,11,2,Low
SR-100400,Code Enforcement,Noise Complaint,2025-07-23,In Progress,,414,1,Medium
SR-100382,Water Utilities,Meter Reading Issue,2025-07-23,Open,,414,1,Low
SR-100483,Code Enforcement,Abandoned Vehicle,2025-07-23,Resolved,2025-07-23,0,2,Low
SR-100661,Parks & Recreation,Trail Erosion,2025-07-23,In Progress,,414,4,Low
SR-102139,Code Enforcement,Abandoned Vehicle,2025-07-24,Resolved,2025-10-28,96,2,Low
SR-101098,Code Enforcement,Unsafe Structure,2025-07-24,Resolved,2025-08-05,12,1,Medium
SR-100411,Public Works,Storm Drain Blocked,2025-07-24,Closed,2025-08-22,29,4,Low
SR-101451,Animal Control,Animal Bite Report,2025-07-24,Resolved,2025-08-08,15,2,Medium
SR-101252,Water Utilities,Billing Inquiry,2025-07-24,In Progress,,413,3,High
SR-100655,Water Utilities,Billing Inquiry,2025-07-25,Open,,412,3,Low
SR-101910,Parks & Recreation,Tree Trimming Request,2025-07-25,Open,,412,4,High
SR-100757,Planning,Zoning Inquiry,2025-07-26,Open,,411,3,Low
SR-102016,Public Works,Street Light Outage,2025-07-26,Open,,411,1,Medium
SR-100518,Parks & Recreation,Tree Trimming Request,2025-07-26,In Progress,,411,2,Low
SR-100535,Public Works,Road Debris,2025-07-26,Closed,2025-08-13,18,4,Medium
SR-102317,Water Utilities,Billing Inquiry,2025-07-26,Closed,2025-08-16,21,5,Low
SR-101604,Water Utilities,Water Main Break,2025-07-27,In Progress,,410,4,Low
SR-101285,Public Works,Road Debris,2025-07-27,Resolved,2025-07-30,3,2,Medium
SR-101461,Public Works,Street Light Outage,2025-07-28,Resolved,2025-08-10,13,3,Low
SR-101513,Public Works,Pothole Repair,2025-07-28,In Progress,,409,5,Medium
SR-101944,Water Utilities,Meter Reading Issue,2025-07-28,Closed,2025-08-03,6,4,Medium
SR-101966,Public Works,Road Debris,2025-07-28,Resolved,2025-08-06,9,2,Medium
SR-101523,Planning,Permit Question,2025-07-28,In Progress,,409,5,Low
SR-101724,Code Enforcement,Overgrown Lot,2025-07-29,Closed,2025-07-29,0,2,Low
SR-100884,Code Enforcement,Abandoned Vehicle,2025-07-29,Resolved,2025-07-29,0,2,Low
SR-100589,Planning,Land Use Complaint,2025-07-29,Resolved,2025-09-24,57,4,Low
SR-102313,Code Enforcement,Illegal Dumping,2025-07-29,Closed,2025-09-17,50,1,Low
SR-100476,Animal Control,Barking Complaint,2025-07-29,In Progress,,408,1,Medium
SR-101754,Public Works,Pothole Repair,2025-07-29,Resolved,2025-07-30,1,4,Low
SR-101065,Water Utilities,Billing Inquiry,2025-07-30,Open,,407,2,Medium
SR-101957,Parks & Recreation,Playground Equipment Damage,2025-07-30,Closed,2025-09-02,34,2,Medium
SR-100340,Water Utilities,Low Water Pressure,2025-07-30,Closed,2025-08-16,17,2,Medium
SR-102122,Planning,Permit Question,2025-07-31,Resolved,2025-08-04,4,5,Medium
SR-102369,Water Utilities,Meter Reading Issue,2025-07-31,Resolved,2025-08-15,15,5,Low
SR-101473,Water Utilities,Low Water Pressure,2025-07-31,Closed,2025-08-05,5,4,Low
SR-101524,Planning,Land Use Complaint,2025-08-01,Resolved,2025-08-02,1,4,Low
SR-100806,Code Enforcement,Overgrown Lot,2025-08-01,Open,,405,5,Low
SR-100279,Water Utilities,Water Main Break,2025-08-01,Open,,405,4,Low
SR-102325,Water Utilities,Meter Reading Issue,2025-08-02,Resolved,2025-08-20,18,5,Low
SR-100972,Public Works,Storm Drain Blocked,2025-08-02,Resolved,2025-09-03,32,2,Medium
SR-100202,Water Utilities,Meter Reading Issue,2025-08-02,Open,,404,4,High
SR-102205,Public Works,Sidewalk Damage,2025-08-02,Open,,404,4,Medium
SR-100981,Public Works,Sidewalk Damage,2025-08-02,In Progress,,404,4,Low
SR-102383,Code Enforcement,Abandoned Vehicle,2025-08-02,In Progress,,404,1,Medium
SR-101650,Water Utilities,Meter Reading Issue,2025-08-02,Closed,2025-08-25,23,3,Medium
SR-100861,Planning,Land Use Complaint,2025-08-02,Open,,404,5,Low
SR-100361,Parks & Recreation,Park Maintenance,2025-08-02,Resolved,2025-08-05,3,4,Medium
SR-100873,Planning,Sign Violation,2025-08-02,Resolved,2025-08-13,11,1,Medium
SR-101345,Public Works,Road Debris,2025-08-03,Closed,2025-08-16,13,3,High
SR-101070,Public Works,Pothole Repair,2025-08-03,Open,,403,1,Low
SR-100480,Parks & Recreation,Park Maintenance,2025-08-03,Closed,2025-08-09,6,4,Low
SR-100828,Planning,Land Use Complaint,2025-08-03,Closed,2025-08-03,0,3,Medium
SR-102060,Public Works,Storm Drain Blocked,2025-08-03,Closed,2025-08-04,1,1,Low
SR-102323,Water Utilities,Meter Reading Issue,2025-08-03,Resolved,2025-08-13,10,4,Low
SR-101808,Water Utilities,Meter Reading Issue,2025-08-03,Closed,2025-08-20,17,4,Low
SR-100731,Public Works,Street Light Outage,2025-08-03,Resolved,2025-08-26,23,1,Medium
SR-102209,Water Utilities,Water Main Break,2025-08-04,Resolved,2025-08-25,21,3,High
